Dataset                , Jiffy,  MDDTW, DTW-D,  DTW-I,   LBM
JapaneseVowels         , 1.0000, 0.986, 0.963,  0.95135, 0.919
ECG                    , 0.9250, 0.865, 0.825,  0.81000, 0.690
Wafer                  , 0.9916, 0.988, 0.984,  0.97906, 0.936
AUSLAN                 , 1.0000, 0.959, 0.900,  1.00000, 0.763
PenDigits              , 0.9714, 0.994, 0.993,  0.95025, 0.878
RobotEF-LP1            , 0.8235, 0.909, 0.875,  0.85227, 0.625
RobotEF-LP2            , 0.6670, 0.723, 0.702,  0.68085, 0.600
RobotEF-LP3            , 0.5600, 0.702, 0.680,  0.61702, 0.638
RobotEF-LP4            , 0.8780, 0.923, 0.888,  0.88034, 0.837
RobotEF-LP5            , 0.7814, 0.725, 0.707,  0.69510, 0.652
Libras                 , 1.0000, 0.908, 0.905,  0.86111, 0.811
ArabicDigits           , 0.9737, 0.969, 0.963,  0.97227, 0.763
CharacterTrajectories  , 0.9789, 0.961, 0.956,  0.97411, 0.857
